categories,subcategories,yearly_emissions,monthly_emissions,weekly_emissions
Travel,Motor,2.8305,0.23587499999999997,0.05443269230769231
Travel,Motor,0.73593,0.0613275,0.0141525
Travel,Vehicle,0.518,0.04316666666666666,0.00996153846153846
Travel,Air,1.339002,0.1115835,0.02575003846153846
Travel,Air,1.339002,0.1115835,0.02575003846153846
Travel,Public Transport,0.096541,0.00804508333333333,0.00185655769230769
Travel,Public Transport,0.025101,0.00209175,4.827115384615384e-4
Housing,Electricity,6.564208,0.5470173333333334,0.12623476923076923
Housing,Electricity,0.590779,0.04923158333333333,0.01136113461538461
Housing,Natural Gas,2.173512,0.181126,0.0417983076923077
Housing,Natural Gas,0.304292,0.02535766666666666,0.00585176923076923
Housing,Heating Oil,0,0,0
Housing,Heating Oil,0,0,0
Housing,Water & Sewage,1.124246,0.09368716666666668,0.02162011538461538
Housing,Shelter,1.72422,0.143685,0.03315807692307692
Food,Meat,1.096018,0.09133483333333332,0.02107726923076923
Food,Dairy,0.41756,0.03479666666666666,0.00802999999999999
Food,Other,0.601754,0.05014616666666666,0.0115721923076923
Food,Fruits & Veggies,0.331365,0.02761375,0.00637240384615384
Food,Cereals,0.354068,0.02950566666666666,0.006809
Goods,Clothing,1.277549,0.10646241666666668,0.02456825
Goods,Furniture,1.312998,0.1094165,0.02524996153846154
Goods,Other,2.251448,0.18762066666666663,0.04329707692307692
Services,Services,4.811384,0.4009486666666667,0.0925266153846154
